date,days_since_invasion,estimate,ci_lower,ci_upper,pi_low,pi_high,type,country
2025-11-22,1367,1150104.0023346995,1050461.668116666,1259711.719503883,987021.0968976854,1340133.429558152,casualties,russia
2025-11-21,1366,1149516.7889089086,1050461.668116666,1258234.6591796277,986880.755969401,1338955.6420184916,casualties,russia
2025-11-20,1365,1148941.2965033087,1050461.668116666,1256759.3407126048,986754.5667044763,1337786.3112736898,casualties,russia
2025-11-19,1364,1148293.1567850295,1050461.668116666,1255237.8917096835,986545.8480214569,1336560.0723991022,casualties,russia
2025-11-18,1363,1147449.6079800318,1050361.9847494906,1253526.011573867,986148.5696477318,1335134.747710994,casualties,russia
2025-11-17,1362,1146696.3776131186,1050361.9847494906,1251898.595458903,985837.7317087622,1333802.8831718634,casualties,russia
2025-11-16,1361,1145983.4622888379,1050361.9847494906,1250312.0493490696,985563.3170424214,1332515.7913198122,casualties,russia
2025-11-15,1360,1145241.992772255,1050345.693938912,1248713.9638717063,985252.5789992345,1331211.7366252712,casualties,russia
2025-11-14,1359,1144510.7508148393,1050334.6795888639,1247137.5102166669,984944.8695622062,1329927.6379064627,casualties,russia
2025-11-13,1358,1143807.0925318983,1050334.6795888639,1245599.7831534732,984656.5761969532,1328681.734595656,casualties,russia
2025-11-12,1357,1142983.6068257226,1050261.49275696,1243984.899022821,984234.7991258097,1327337.7382444476,casualties,russia
2025-11-11,1356,1142228.2695524157,1050261.49275696,1242486.723134619,983854.2904841261,1326096.5606223308,casualties,russia
2025-11-10,1355,1141453.7993578578,1050261.49275696,1240988.6269212575,983445.8009394942,1324848.9130122752,casualties,russia
2025-11-09,1354,1140766.0516194785,1050261.49275696,1239556.1066314257,983127.1551605165,1323681.7965001902,casualties,russia
2025-11-08,1353,1140128.6078922981,1050261.49275696,1238164.4056529643,982858.7088344414,1322564.0942020798,casualties,russia
2025-11-07,1352,1139444.577169027,1050261.49275696,1236722.1155417222,982546.7057248526,1321397.128931041,casualties,russia
2025-11-06,1351,1138653.3881641957,1050261.49275696,1235188.722003969,982125.1786655227,1320129.119736503,casualties,russia
2025-11-05,1350,1137981.8542903475,1050261.49275696,1233738.4057927597,981831.4190909292,1318966.966734374,casualties,russia
2025-11-04,1349,1137376.1378020365,1050261.49275696,1232329.7547333157,981608.9632814436,1317861.7849587991,casualties,russia
2025-11-03,1348,1136722.4863840682,1050261.49275696,1230867.4903304277,981342.2448260685,1316705.1739151743,casualties,russia
2025-11-02,1347,1136015.0055867704,1050261.49275696,1229366.0863781718,981016.6675967337,1315503.1170154177,casualties,russia
2025-11-01,1346,1135296.5648558298,1050261.49275696,1227865.2441371852,980674.1272179651,1314298.6873221474,casualties,russia
2025-10-31,1345,1134626.4378607036,1050261.49275696,1226422.8533602667,980371.3682676491,1313152.9994676714,casualties,russia
