date,days_since_invasion,estimate,ci_lower,ci_upper,pi_low,pi_high,type,country
2026-03-28,1493,334488.50320651,255939.47680326353,438426.3571896397,236216.5304363748,473985.1248799707,deaths,russia
2026-03-27,1492,334346.2062246608,255939.47680326353,437947.3955706585,236216.5304363748,473544.7195180449,deaths,russia
2026-03-26,1491,334053.8675451353,255939.47680326353,436993.03458530194,236216.5304363748,472664.5042358385,deaths,russia
2026-03-25,1490,333782.1231337184,255939.47680326353,436050.41564389673,236216.5304363748,471800.6028854044,deaths,russia
2026-03-24,1489,333492.5116785334,255939.47680326353,435092.72356465244,236216.5304363748,470919.9832981808,deaths,russia
2026-03-23,1488,333204.6627955436,255939.47680326353,434134.3851749985,236216.5304363748,470040.1997198216,deaths,russia
2026-03-22,1487,332897.521432372,255939.47680326353,433169.97559247736,236216.5304363748,469150.81066888396,deaths,russia
2026-03-21,1486,332570.50591682724,255939.47680326353,432199.33169283986,236205.47761999135,468251.36345369444,deaths,russia
2026-03-20,1485,332213.6159376029,255939.47680326353,431221.1884292503,236159.4373549173,467337.8078952117,deaths,russia
2026-03-19,1484,331812.4649798577,255912.10667609057,430225.97984088317,236064.0464757385,466397.9653059416,deaths,russia
2026-03-18,1483,331368.9508741279,255826.96603152805,429218.9823707854,235919.51135836562,465436.6720646308,deaths,russia
2026-03-17,1482,330890.84641687706,255691.1964330962,428208.1361650607,235732.42139266303,464462.62621167756,deaths,russia
2026-03-16,1481,330369.075693759,255493.26739150556,427189.14640134503,235492.98720345105,463469.56322595826,deaths,russia
2026-03-15,1480,329812.8511247337,255240.91440972663,426172.63847056305,235208.51689368254,462468.78425968747,deaths,russia
2026-03-14,1479,329235.9581312905,254957.17369661777,425155.6182453893,234897.85377964482,461461.8000775663,deaths,russia
2026-03-13,1478,328657.6136447171,254667.60002536772,424144.97802114964,234582.6393167705,460459.8896819505,deaths,russia
2026-03-12,1477,328084.1701030533,254382.0788004113,423140.59324749303,234271.03316243406,459464.80282336805,deaths,russia
2026-03-11,1476,327536.6412249394,254128.09618247193,422151.0478123152,233986.25420312086,458489.9173875118,deaths,russia
2026-03-10,1475,327003.12262373057,253895.92961845826,421161.8383176141,233719.1767177967,457519.80516139296,deaths,russia
2026-03-09,1474,326484.0144048368,253685.68852344432,420173.8610400066,233469.9334365859,456555.35200628376,deaths,russia
2026-03-08,1473,325987.85937301617,253513.66489475075,419182.2039335131,233251.47392754938,455595.1768884977,deaths,russia
