source,casualties,deaths,Overall
BBC Russia,0,4,4
CIA,2,0,2
CSIS,2,3,5
Dutch Military Intelligence and Security Service (MIVD),1,0,1
Excess deaths estimate (D. Kobak),0,2,2
French foreign minister,1,1,2
IISS,1,0,1
Meduza,0,176.00000000000063,176.00000000000063
NATO nations (via NYT),1,0,1
NATO officials (via media24),1,1,2
NATO officials (via WP),1,1,2
The Centre for Strategic and International Studies,1,1,2
UK Foreign ministry,1,0,1
UK MoD,47,4,51
US DoD,2,1,3
US officials (via NYT),4,3,7
US officials (via The Economist),0,1,1
Western intelligence agencies (via WSJ),1,0,1
Total,66,198.00000000000063,264.0000000000006
