date,source,country,source_id,estimate_type,estimate,total_daily_log_war_fires_to_date,total_daily_log_war_fires_to_date_in_russia_held_area,total_daily_log_war_fires_to_date_in_ukraine_held_area,total_cloud_cover_in_east_of_country_to_date,total_change_in_area_assessed_as_russia_controlled,days_since_invasion,weight,source_type
2022-07-24,US officials (via The Economist),russia,all_df_US officials (via The Economist)_8,estimate_low,15000,475.5246371603419,367.14414397882564,337.281742158119,80.367,185578709258.09875,150,0.5,deaths
2022-07-24,US officials (via The Economist),russia,all_df_US officials (via The Economist)_8,estimate_high,20000,475.5246371603419,367.14414397882564,337.281742158119,80.367,185578709258.09875,150,0.5,deaths
2022-08-11,US officials (via NYT),russia,all_df_US officials (via NYT)_10,estimate,20000,555.001892565929,440.47653478839084,389.8690346887596,89.925,185844853725.28168,168,1,deaths
2023-01-01,Excess deaths estimate (D. Kobak),russia,all_df_Excess deaths estimate (D. Kobak)_16,estimate,24000,712.4617790359016,578.2512368791342,457.71579012516486,187.081,205539547894.4531,311,1,deaths
2023-02-15,US DoD,russia,all_df_US DoD_19,estimate,43000,721.0720982053074,586.8615560485399,457.71579012516486,220.93,206182781011.40173,356,1,deaths
2023-02-28,The Centre for Strategic and International Studies,russia,all_df_The Centre for Strategic and International Studies_23,estimate_low,60000,721.0720982053074,586.8615560485399,457.71579012516486,231.132,206264456535.49872,369,0.5,deaths
2023-02-28,The Centre for Strategic and International Studies,russia,all_df_The Centre for Strategic and International Studies_23,estimate_high,70000,721.0720982053074,586.8615560485399,457.71579012516486,231.132,206264456535.49872,369,0.5,deaths
2023-08-18,US officials (via NYT),russia,all_df_US officials (via NYT)_32,estimate,120000,1329.4954759306024,1020.1888991778261,978.9652072509255,339.27,208371796160.44772,540,1,deaths
2023-11-30,UK MoD,russia,all_df_UK MoD_41,estimate,70000,1797.0101633925901,1421.3123571606388,1358.2001903029616,399.048,208592036459.43192,644,1,deaths
2024-01-01,Excess deaths estimate (D. Kobak),russia,all_df_Excess deaths estimate (D. Kobak)_44,estimate,64000,1824.0957535268428,1428.9212277898303,1379.4454448242197,426.447,208736110724.40738,676,1,deaths
2024-05-03,French foreign minister,russia,all_df_French foreign minister_53,estimate,150000,2209.585565472839,1711.0366127272414,1702.7820892710406,512.7,209170230754.58936,799,1,deaths
2024-10-10,US officials (via NYT),russia,all_df_US officials (via NYT)_71,estimate,115000,3180.5904801085776,2524.9468761353755,2581.711154577349,592.136,210875023090.45807,959,1,deaths
2025-02-21,BBC Russia,russia,all_df_BBC Russia_87,estimate_low,146194,3376.366523313344,2606.6016212180825,2750.8384083002907,690.042,213213649234.2529,1093,0.5,deaths
2025-02-21,BBC Russia,russia,all_df_BBC Russia_87,estimate_high,211169,3376.366523313344,2606.6016212180825,2750.8384083002907,690.042,213213649234.2529,1093,0.5,deaths
2025-03-20,UK MoD,russia,all_df_UK MoD_90,estimate_low,200000,3504.8977736761226,2682.070629174248,2871.370906886648,705.778,213403787483.65823,1120,0.5,deaths
2025-03-20,UK MoD,russia,all_df_UK MoD_90,estimate_high,250000,3504.8977736761226,2682.070629174248,2871.370906886648,705.778,213403787483.65823,1120,0.5,deaths
2025-05-30,BBC Russia,russia,all_df_BBC Russia_93,estimate_low,191000,3802.233816648439,2884.8360416231267,3130.206791765494,749.768,214256148437.56665,1191,0.5,deaths
2025-05-30,BBC Russia,russia,all_df_BBC Russia_93,estimate_high,269000,3802.233816648439,2884.8360416231267,3130.206791765494,749.768,214256148437.56665,1191,0.5,deaths
2022-04-23,NATO officials (via WP),russia,all_df_NATO officials (via WP)_97,estimate_low,7000,155.4881125352611,109.8740208369114,122.39166102442103,38.007,179423446721.9148,58,0.5,deaths
2022-04-23,NATO officials (via WP),russia,all_df_NATO officials (via WP)_97,estimate_high,15000,155.4881125352611,109.8740208369114,122.39166102442103,38.007,179423446721.9148,58,0.5,deaths
2025-06-12,UK MoD,russia,all_df_UK MoD_100,estimate,250000,3874.4595958560058,2942.4149048592553,3196.016364384217,755.442,214525207620.04758,1204,1,deaths
2025-05-01,CSIS,russia,all_df_CSIS_101,estimate_low,200000,3688.565781020055,2796.6093698036784,3039.387518647209,730.278,213748081141.44305,1162,0.5,deaths
2025-05-01,CSIS,russia,all_df_CSIS_101,estimate_high,250000,3688.565781020055,2796.6093698036784,3039.387518647209,730.278,213748081141.44305,1162,0.5,deaths
2025-12-01,CSIS,russia,all_df_CSIS_104,estimate_low,275000,4713.464805316494,3630.6974045539177,3911.146436883273,855.396,217440986318.75693,1376,0.5,deaths
2025-12-01,CSIS,russia,all_df_CSIS_104,estimate_high,325000,4713.464805316494,3630.6974045539177,3911.146436883273,855.396,217440986318.75693,1376,0.5,deaths
2026-04-03,BBC Russia,russia,all_df_BBC Russia_108,estimate_low,319300,4903.785444393583,3751.3522324204287,4073.243006037826,945.425,219234306511.74207,1499,0.5,deaths
2026-04-03,BBC Russia,russia,all_df_BBC Russia_108,estimate_high,461200,4903.785444393583,3751.3522324204287,4073.243006037826,945.425,219234306511.74207,1499,0.5,deaths
2026-05-27,UK MoD,russia,all_df_UK MoD_113,estimate,500000,5134.009127856838,3921.2994649527886,4266.663055771338,978.341,219688829108.248,1553,1,deaths
2026-06-12,BBC Russia,russia,all_df_BBC Russia_114,estimate_low,369000,5202.3875271677825,3975.9191258991505,4320.1028084147,988.794,219804645338.31293,1569,0.5,deaths
2026-06-12,BBC Russia,russia,all_df_BBC Russia_114,estimate_high,523000,5202.3875271677825,3975.9191258991505,4320.1028084147,988.794,219804645338.31293,1569,0.5,deaths
2022-02-24,Meduza,russia,deaths_via_meduza_assembled_1,estimate,456.1974551665733,3.4011973816621555,3.4011973816621555,0,0.795,38305374099.68546,0,0.3333333333333333,deaths
2022-02-24,Meduza,russia,deaths_via_meduza_assembled_1,estimate_low,336.2366071075322,3.4011973816621555,3.4011973816621555,0,0.795,38305374099.68546,0,0.3333333333333333,deaths
2022-02-24,Meduza,russia,deaths_via_meduza_assembled_1,estimate_high,576.1583032256143,3.4011973816621555,3.4011973816621555,0,0.795,38305374099.68546,0,0.3333333333333333,deaths
2022-02-28,Meduza,russia,deaths_via_meduza_assembled_2,estimate,1147.2465583230148,10.488771087220128,8.719317375506371,3.6888794541139363,3.384,78205107812.52966,4,0.3333333333333333,deaths
2022-02-28,Meduza,russia,deaths_via_meduza_assembled_2,estimate_low,896.0602836009076,10.488771087220128,8.719317375506371,3.6888794541139363,3.384,78205107812.52966,4,0.3333333333333333,deaths
2022-02-28,Meduza,russia,deaths_via_meduza_assembled_2,estimate_high,1398.4328330451222,10.488771087220128,8.719317375506371,3.6888794541139363,3.384,78205107812.52966,4,0.3333333333333333,deaths
2022-03-07,Meduza,russia,deaths_via_meduza_assembled_3,estimate,1615.5610587911362,10.488771087220128,8.719317375506371,3.6888794541139363,10.125,102889424961.27107,11,0.3333333333333333,deaths
2022-03-07,Meduza,russia,deaths_via_meduza_assembled_3,estimate_low,1285.249609544938,10.488771087220128,8.719317375506371,3.6888794541139363,10.125,102889424961.27107,11,0.3333333333333333,deaths
2022-03-07,Meduza,russia,deaths_via_meduza_assembled_3,estimate_high,1945.8725080373342,10.488771087220128,8.719317375506371,3.6888794541139363,10.125,102889424961.27107,11,0.3333333333333333,deaths
2022-03-14,Meduza,russia,deaths_via_meduza_assembled_4,estimate,1908.6324683935084,28.673577587379466,14.536428535469575,21.05644264961783,14.7,110047208409.71448,18,0.3333333333333333,deaths
2022-03-14,Meduza,russia,deaths_via_meduza_assembled_4,estimate_low,1514.9395271062724,28.673577587379466,14.536428535469575,21.05644264961783,14.7,110047208409.71448,18,0.3333333333333333,deaths
2022-03-14,Meduza,russia,deaths_via_meduza_assembled_4,estimate_high,2302.325409680744,28.673577587379466,14.536428535469575,21.05644264961783,14.7,110047208409.71448,18,0.3333333333333333,deaths
2022-03-21,Meduza,russia,deaths_via_meduza_assembled_5,estimate,2319.609811815582,62.16967960766537,38.70268611256329,52.08073025102789,16.581,110793829403.92294,25,0.3333333333333333,deaths
2022-03-21,Meduza,russia,deaths_via_meduza_assembled_5,estimate_low,1844.8419947094676,62.16967960766537,38.70268611256329,52.08073025102789,16.581,110793829403.92294,25,0.3333333333333333,deaths
2022-03-21,Meduza,russia,deaths_via_meduza_assembled_5,estimate_high,2794.3776289216958,62.16967960766537,38.70268611256329,52.08073025102789,16.581,110793829403.92294,25,0.3333333333333333,deaths
2022-03-28,Meduza,russia,deaths_via_meduza_assembled_6,estimate,2700.400493272504,98.29437972319428,68.92275830712374,83.60367230431297,18.11,123122954880.9401,32,0.3333333333333333,deaths
2022-03-28,Meduza,russia,deaths_via_meduza_assembled_6,estimate_low,2156.683098883499,98.29437972319428,68.92275830712374,83.60367230431297,18.11,123122954880.9401,32,0.3333333333333333,deaths
2022-03-28,Meduza,russia,deaths_via_meduza_assembled_6,estimate_high,3244.117887661508,98.29437972319428,68.92275830712374,83.60367230431297,18.11,123122954880.9401,32,0.3333333333333333,deaths
2022-04-04,Meduza,russia,deaths_via_meduza_assembled_7,estimate,2915.2207089425447,122.20501977048919,87.17468064943495,103.24639257407439,23.259,148911410804.7554,39,0.3333333333333333,deaths
2022-04-04,Meduza,russia,deaths_via_meduza_assembled_7,estimate_low,2322.254637093571,122.20501977048919,87.17468064943495,103.24639257407439,23.259,148911410804.7554,39,0.3333333333333333,deaths
2022-04-04,Meduza,russia,deaths_via_meduza_assembled_7,estimate_high,3508.186780791518,122.20501977048919,87.17468064943495,103.24639257407439,23.259,148911410804.7554,39,0.3333333333333333,deaths
2022-04-11,Meduza,russia,deaths_via_meduza_assembled_8,estimate,3064.046396876041,141.92859935348213,105.47957168223896,112.15170123526369,28.042,174264625065.26407,46,0.3333333333333333,deaths
2022-04-11,Meduza,russia,deaths_via_meduza_assembled_8,estimate_low,2439.5578618383465,141.92859935348213,105.47957168223896,112.15170123526369,28.042,174264625065.26407,46,0.3333333333333333,deaths
2022-04-11,Meduza,russia,deaths_via_meduza_assembled_8,estimate_high,3688.534931913735,141.92859935348213,105.47957168223896,112.15170123526369,28.042,174264625065.26407,46,0.3333333333333333,deaths
2022-04-18,Meduza,russia,deaths_via_meduza_assembled_9,estimate,3336.3486130871,149.82515205512516,107.67679625957517,118.7027815703071,33.631,176291114170.09848,53,0.3333333333333333,deaths
2022-04-18,Meduza,russia,deaths_via_meduza_assembled_9,estimate_low,2647.1455200971695,149.82515205512516,107.67679625957517,118.7027815703071,33.631,176291114170.09848,53,0.3333333333333333,deaths
2022-04-18,Meduza,russia,deaths_via_meduza_assembled_9,estimate_high,4025.5517060770303,149.82515205512516,107.67679625957517,118.7027815703071,33.631,176291114170.09848,53,0.3333333333333333,deaths
2022-04-25,Meduza,russia,deaths_via_meduza_assembled_10,estimate,3632.683273064447,160.88627523677886,112.76439259480756,126.86899783889923,38.919,179468054160.97626,60,0.3333333333333333,deaths
2022-04-25,Meduza,russia,deaths_via_meduza_assembled_10,estimate_low,2868.896658917469,160.88627523677886,112.76439259480756,126.86899783889923,38.919,179468054160.97626,60,0.3333333333333333,deaths
